token,lidar_pc_token,type,agent_track_token
"b'G\xe5,K\xe4uUk'",b'\xd4\xa9\xc9\x01\xe9\x0bP\xa5',on_stopline_crosswalk,
b'l\x8caP\xed\x02S(',b'\xa0\xc9_\xcb\xc9\xb1_\xaa',on_stopline_crosswalk,
b'd\xab\xe2\xe0C?P\xbd',b'\xc5\x8f\xc8\xddEM^\xe3',on_stopline_crosswalk,
b'\xd3\x1a\xf3\x1a\xedOT2',b'\x1bu\xfc\x10}C]\x12',on_stopline_crosswalk,
b'`\xb8e\xef\xeb\x97W\x1c',b'\xe9z\xaa\xca^\xf5R[',on_stopline_crosswalk,
b'BJ\xdbIW\x14P|',b'z@\xd3!\x95\x94W$',on_stopline_crosswalk,
b'\xa5m\xe204\xf1V\xc8',b'\x91\xfe\xc1\x1a\x1c%^o',on_stopline_crosswalk,
b'L\xba\xebo3}]\xe2',b'Tm\xef\xf8\x9eCV\x99',on_stopline_crosswalk,
b'\x86`a\xe4\x17\x1eS:',b'Mq]\xa6A\xedV\xe9',on_stopline_crosswalk,
b'A \xbd\xe6\xafITT',"b'\x85"",\x905\xd1Q<'",on_stopline_crosswalk,
b'\xc6\x10\x94\xbd\rgP\x82',"b'\xb6\xa0,\x7f\xf7\x08_\xd0'",on_stopline_crosswalk,
b'\x97\xfcy\x1f\x80\xbdQO',b'\xe5\xd9C@\xf1p[\xb3',on_stopline_crosswalk,
b'8\x86$\xb9\x86\x90S\xac',b'\xe3\x1d<v\xd7\x15P\xcf',on_stopline_crosswalk,
b'.\xb88\xc1\x19\xdeP\x14',b'\xe2~j\xfc+\xbd]\xd4',on_stopline_crosswalk,
b'v\xd5\xddV\xa9\x9aP\xd7',b'[#p\xc0\xcdc[\xbf',on_stopline_crosswalk,
b'\x96\xb8\xc8\xcbv\x15_c',b'%\xb8\x0bj\x18\xaeX\xea',on_stopline_crosswalk,
b'\xa7\x07<X~\xc5_\xaa',b'\x96\xf6\xd9\x16\xaf\xc0Qf',on_stopline_crosswalk,
b'\xb2u\xf7\xee wV\xc2',b'e\x859\xc0\x92\xbeV\xc9',on_stopline_crosswalk,
b'\xa6_\xd2\x96\xdf}S\xfd',b'\xdeZ\x84s\xffm]\x1a',on_stopline_crosswalk,
b'`\xa5:_\x0e\xcd^\xac',b'\xd7\x7f\x1dit\x12\\\xf5',on_stopline_crosswalk,
b'\x16\x94\xadq\xedpZ\x17',b'\x99\x06z\xf7\xcb\x18^\x00',on_stopline_crosswalk,
b'\x85N\x9f\xd0\xfe\xdcP\xad',b'\xf6\x04\x89\xef\xd2\x90SI',on_stopline_crosswalk,
b'\xc2\xba8T\xc3@_\x99',b'P\x8a\xec\n\xaf\xd5Ve',on_stopline_crosswalk,
b'\xb1\x15\x159\x8a\xfc]\xf7',b'\x07\xf6zkB\xc5[\x8c',on_stopline_crosswalk,
b'm\xe4\xec\xc2C\xe2]\x97',b'\xf9W\xea\xf2\xdc\xcbQ\xfc',on_stopline_crosswalk,
b'\x12;\x18x\x10\x15S\x8e',b'\xec\x89\xe7Z\x80\xa9R\xa8',on_stopline_crosswalk,
"b'\xac,4L;y_='",b'4=\xd1M\xc16V\xd4',on_stopline_crosswalk,
b'x\xe9\xc6\x8d\x00\x8dQI',b'\xcb\xed\x10\xd5\x93RX4',on_stopline_crosswalk,
b'\xff\xa7\xdd\x1d\xc4\xecU\xdd',"b'\xbb\xbe,\xcf|\x0c]\x8b'",on_stopline_crosswalk,
b'\x13\xff!\xc2\x12M]\xb9',b'\xfd\x81Y\x08\xdfYPH',on_stopline_crosswalk,
"b""'wk7\xdb\xc3P\x94""",b'\xa6\x04w\xca\x91\xcdS\xaa',on_stopline_crosswalk,
"b""\x04?<F?'Z\xd5""",b'E\xba\xe8Sr^_\xf0',on_stopline_crosswalk,
b'\xfa\xa8\xcd:\x94\xe7\\*',b'k\xf5\x9cU\x03$QB',on_stopline_crosswalk,
b'\xa5\xb0\xe75\xee/[\x16',b'\x82\x90\xc5\xe7U\xc0^t',on_stopline_crosswalk,
b'\xb6>\x03S\xad\xb3[(',b'\xce\xf9\xaf\xbc\x19\xd8[V',on_stopline_crosswalk,
"b'b,@J\xd1\xa5T\x8d'",b'\x82\x1e\x8c1x\x87\\w',on_stopline_crosswalk,
b'\xd5\xcd7\xdd\xb3\xea[\x80',b'\x91\xaalqm)R\x15',on_stopline_crosswalk,
b'8_\xd5\x0b\\\x8d\\4',b'\x00\xde\xa1\xa0\\\xfbQ\xc1',on_stopline_crosswalk,
b'\xe2-\x14D\x1ay[=',b'\xb5|\xf5\x16A\xd2Z\xf9',on_stopline_crosswalk,
"b'\xb3\xb0\xd0\xd6\xbe,_g'",b'\xa6]\xf2\xa4\xd8 \\\x82',on_stopline_crosswalk,
b'\xb7o\x14\xc9\xb1BV0',b'\xaf4\xb3\x012\xcaQ\x99',on_stopline_crosswalk,
b'\x9bf\xa2.+\xcfRG',b'w\x17\xe2p\x8fCV8',on_stopline_crosswalk,
b'\xda@vv\xe5\x9dY\xb8',b';\t5K&IW_',on_stopline_crosswalk,
b'e\x17tyt~Zv',b'j\x96\xddd\x0fR\\\x0f',on_stopline_crosswalk,
b'\x8c{b\xb6{u[\x18',b'\x91\xeb\xb2\xf9\x94\x0eZ$',on_stopline_crosswalk,
b'WOn(\xaf\x9cX\xed',b'._\x1e\xeam\xb3T\xeb',on_stopline_crosswalk,
"b'\xe5\x1dY\xa3\x87,^h'",b'\xf2\x8d@\xa7\xfc\x04Zl',on_stopline_crosswalk,
b'/m\x8c\xb5\xbf\xf0Qn',b'\xffC\x94\xb8\x03\xa3T\xe4',on_stopline_crosswalk,
b'\x81\xc2x\xe4\xddwR\xb0',"b'\x17o""\xd58\xef]a'",on_stopline_crosswalk,
b' J\xbb.\xe2\xdcYX',b'\ty?\xe18\xfdW\x18',on_stopline_crosswalk,
b'e\x01\x9bs\xe3t]\x1a',b'\x1f\x19\xeaA\x84^S:',on_stopline_crosswalk,
b'Q\xb3\xd9\xf0S}Y8',b'\xa3\xb2(qqIW\x1a',on_stopline_crosswalk,
b'\xcc\x1b\xd9<\xe7\xe4\\\x1d',b'%t\xb3\xad\xa60^%',on_stopline_crosswalk,
b'\x07\x01iH\xc9\x9fY\xd3',b'i5\xe9\xee\xd2\xc4Z\x7f',on_stopline_crosswalk,
b'd\xe5\x1d\xa8\xa4\xddZI',b'\x8d\xab$\xd3U\x12[\xff',on_stopline_crosswalk,
b'\xa0Sd\xb2\x1d\x9bQ\x9e',b'\xa1\xf3.\x89\x83\t[\xb8',on_stopline_crosswalk,
b'5\xba\xc6`\t\x15XW',b'\xe3|\x06\x03z7PP',on_stopline_crosswalk,
b'\xcd[\x05-\xaf\x00RR',b'\xda\xc6\xd6\xd9T\x8d^=',on_stopline_crosswalk,
b'\xad(j\xa7\x97\x96^\xa2',b'\xe1s.\x8f\xf7\xd4\\\x92',on_stopline_crosswalk,
b'\x15VH>\xc0\xd2U\xdd',b'H\x03\xac\xa5b\xa9^g',on_stopline_crosswalk,
b'\xff\xde\xc9\xe0\x17TR_',b'\xd7>\xf4\x9a\xdc\xcfP\x08',on_stopline_crosswalk,
b'\\<\xcb\xc4\xd7\x03WV',b'R1\x97\xfeU1[\xea',on_stopline_crosswalk,
b'\xa0\xe0\x16\xdaz\xcdZU',b'\x90\xd7\xf6\xdf=\xbdY\xb6',on_stopline_crosswalk,
b'\x15\x1c\xf4\x0c|\xd7Y\xee',b'\x7f\x85\x12\xf9\xe1jPc',on_stopline_crosswalk,
b'\xfe\x90\x83\x80\xc2\xefWH',b'\xf0\xb7\xa0\xe4\x17yQC',on_stopline_crosswalk,
b'\xa5% H7\xd9]\xe4',b'\x87\xc6\xf6\xc8i\x7fU\xd3',on_stopline_crosswalk,
b'\x92\xa5C\xda\x8e\x9a_\xc2',b'\xadw\x91\xaf\x90IR\x89',on_stopline_crosswalk,
b'\x81\xce\xec\xf7\xcbRT\x01',b'\xc3`\x19\xa9\xe1jV\x82',on_stopline_crosswalk,
b']\x80\x8b}\xdd\x01R|',b'x\x1fV\x85Y~_N',on_stopline_crosswalk,
b'~\xab\xe2&\xd5x\\H',b'\xd7\xc9\xa8\x82\x174WC',on_stopline_crosswalk,
b'A\x08\x80LX@\\\x8a',b'\xbc\xbf\xcb\n:h]z',on_stopline_crosswalk,
b'\xdf(|\xe2\x8b\xb5Q\x0f',b'@\x88M\xd9b\xedU\x1a',on_stopline_crosswalk,
b'\x1a\x06\xa9\xb4\xe1\xc1[n',b'\x97z\x86\xb7Z\x07W9',on_stopline_crosswalk,
b'\xa5I\x1c\xda\xb9\x97^V',b'\x17[\x97\xd5VhQ\xe3',on_stopline_crosswalk,
b'C\xdf\x82\x89\xfc\x9d]\xa5',b'Hz\x0cA\xd0IZ\xf9',on_stopline_crosswalk,
b'@*7\x9c\xd3\x1aX\xb4',b'\xaa\xb8i.\xb7\xba^i',on_stopline_crosswalk,
b'\xb6C@\\\xe6%ZQ',b'\xb81|\xae\xa5AY\xd4',on_stopline_crosswalk,
b'\x00\xf1\xe2W\x16\xe4R\x89',b'\xa5p\xd8t\xf3\x17\\\xe1',on_stopline_crosswalk,
b'\xf5\xfc\xe2G\xa8W[\xb6',"b""vK\xdd'Y\x7fXd""",on_stopline_crosswalk,
b'\xdd\xb1\x89\x13\r\xd5S\xaa',b'dF\x13f\xc5#[l',on_stopline_crosswalk,
b'\xd8\x82\xb1\x12\xbe\xda^\x06',b'!Mq]2\x88X\x97',on_stopline_crosswalk,
b'\x9f\xc3\xf1H \x8d[\xc2',b'[\xbe\x14\\W\x11P\xfc',on_stopline_crosswalk,
b'\xb5o\xc5E\xe4\x00]W',b'\xd7\xaf!\x85\x1e\xefP\x7f',on_stopline_crosswalk,
b'\xc9\x1bK}\xdcu]\x85',b'k\xcf)=\xad\xac_5',on_stopline_crosswalk,
b':q\xff\xe8\n<S&',b'\xe4\xb4m\x1dx\xdfZ\x9a',on_stopline_crosswalk,
b'\xf0\x82\xe8!\xd7\xb9^>',b'Z~\n\x86\xfbl\\x',on_stopline_crosswalk,
b'\xe9\xb0\xd6p\xcf\x80]\x18',b'\x0b\x0e\n\x00S\xf7V\xce',on_stopline_crosswalk,
b'\xea6\x9a\x0b~\x04R\x85',b'\x0c*\x19\xa6F\xf0Z\xf3',on_stopline_crosswalk,
b'@p~\x1d\n\xfa[m',b'=\x85\x89\xd0\xf3\xfbV\xfd',on_stopline_crosswalk,
b'\x96\xbeh\x8b\xbf\x97Zf',b'\xa7\xbb\x86{D\xbb\\\xf4',on_stopline_crosswalk,
b'\xee\x84\x81\x932\x1eZr',b'/y\x00brOZ)',on_stopline_crosswalk,
"b'e\xb8\xab\xfa\xfc""X\x9c'",b'\xe8\xf7\x08\x8c\x88^V\x80',on_stopline_crosswalk,
b'\xb6\x80\xb0*\xdd\x0bW\x82',b'\xbf\xd8\xff\xe3\xf3\xbbU\xf1',on_stopline_crosswalk,
b'v\xa4\x0f\x00\xf5\xd5Y\xf3',b'\xec\xe9\x1cv-\xd0Z\x05',on_stopline_crosswalk,
b'\x01\xcf\xd4\x8b8\xb4^\xe2',b'L\x19\xca\x99M\xdbW$',on_stopline_crosswalk,
b'\xbb7\x86T\x98\xfc]\xf6',b'Q\xb9]\xb9y\x14X.',on_stopline_crosswalk,
b'\xfeG\xaa=\x84\xbeS0',b'\x8b\xb5\x05\xe97jZ\x11',on_stopline_crosswalk,
b'\xbe\xd6)\xd8et]N',b'\xe0l\xa4\x9d\xaesZ\xc7',on_stopline_crosswalk,
b'5G\x96\x83)\x81R\x8e',b'p\xf5\xc3u)rS\x1b',on_stopline_crosswalk,
b'\xae\x04\x8e\xbf\xa0\x9eV\xf1',"b""\xa3\xff\xb9\x99I\xecU'""",on_stopline_crosswalk,
b'\xac}W&[\xe7ZU',b'\x83f\x0b\x81\x11t^4',on_stopline_crosswalk,
b'\x03\xa9\x8d\xb5b\xbbX~',b'\xa3\x9fk\xfc\xdes\\\x9b',on_stopline_crosswalk,
b'z\xbf\xb74x\x96\\\x1a',b'\x83\x8fK\x9f\x0e\xc8T\x00',on_stopline_crosswalk,
b'-J\xf6\x1c\xaf\xddT\xf6',b'Pp\xc7\xc2gQ^\x88',on_stopline_crosswalk,
b'\xab\xe9V\xf9\xe6\xa4\\W',b'\xfe\x85\x80\xa4\xc6\xd8P\x92',on_stopline_crosswalk,
b'\x99\xb6\x9b\xbe\xb6\x88U\xcc',b'Hz\x8fmo\xc5Y\x01',on_stopline_crosswalk,
b'!\xf8\xf1\xbbT\x85S\xb5',b'\xe6\x0cy\xcb\x8d\xf1Pi',on_stopline_crosswalk,
b'\x10.\xc0+\x83\xc5_{',b'\x8dY\x1ea\x94+P\x19',on_stopline_crosswalk,
b'9\xe6\x11/\xb4\xffZ\x13',b'\xf8(\xfd{%jS\x10',on_stopline_crosswalk,
b'G\x1f\x01\x06\x14\xdb^\xbf',b'\x9bM<_\xec\xcb_\x92',on_stopline_crosswalk,
b'8+UK\xddsPl',b'\x8d-\xcf\x9e\xb2|Vn',on_stopline_crosswalk,
b'\x00v\x81bf\xceTY',b'@\xdaY\xc6\xdd;Z\xba',on_stopline_crosswalk,
b'\x98\xb5I\xc16IQ\x9b',b'q\xd0?4\x1c\x05Z\xcd',on_stopline_traffic_light,
b'\xca\x99!\xac\xae\xfeY\x95',b'\x13\x93\x04|\\\rX\xb8',on_stopline_traffic_light,
b'\xef\xb7\xcf~U\x12Q\xa6',b'\xf3\xc8L\xbcr\xd4]\xa5',on_stopline_traffic_light,
b'\x0ff7\xfcJiT\x93',b'eLC_6uX/',on_stopline_traffic_light,
b'\xbaH\xe7^\x97\xfaX\xbc',b'F\xdcJHOJR\x9c',on_stopline_traffic_light,
b'\xbc.\xe9MmcV\xad',b'Q%\x0e\xa5#kUX',on_stopline_traffic_light,
b'0*\xc1\x7f\xfc\x03Q\x16',b'pvB\xd6\x9f\xb0Z\x8d',on_stopline_traffic_light,
b'G}G\xd3\xf0>Z\xb6',b'x\x1d+\x04\xb0lQi',on_stopline_traffic_light,
"b""\x8d\x06\xf9'\xa8\xc5Q\x13""",b'\x1d\x99(#\xafIS\x96',on_stopline_traffic_light,
b'\xb3\x0e\xe3\x9b\xed\xcbZg',b'\xe4\xae\x87\\3\xb0R\x0e',on_stopline_traffic_light,
b'\x85g\t\xf5!s[\x18',"b""\xa2`m\xabi\x8dR'""",on_stopline_traffic_light,
b'\xe0\xdaW\x14\xa9eY4',b'z\x94\xcf\xf97/Z\x04',on_stopline_traffic_light,
b'\xe4S\xde\xa2*\xf7^\x13',b'X\xc8\x94qq\xafS\x13',on_stopline_traffic_light,
b'\xc0\xa7H\x98\x06fQ\xbf',b'\xa8\x0cR\xa1z\x8b^\r',on_stopline_traffic_light,
b'\xf6\x08\x04V\xbcX[\x1b',b'H?y\x1f\xb8>P\\',on_stopline_traffic_light,
b'\xfatBy\x9c\xc8[\xad',b'\x86\xf0\x85\xf9\x96\x89[\xd2',on_stopline_traffic_light,
b'*\xcb\x8b\x9f\xba\xb7_Y',b'GU\rW\xc1#T\r',on_stopline_traffic_light,
b'Z8\x91\xd5!7]J',b'\x1b\x9f\xfeE1cZ\xbb',on_stopline_traffic_light,
b'\xc2V\xacX>\x03Z\x86',b'<q\x10#\xb8\x0f]k',on_stopline_traffic_light,
b'AVE*\xa57W\x18',"b'""{\x01\xac\xa6\xb1V\xae'",on_stopline_traffic_light,
b'~58\xc9\xebHXR',b'\xf2Mk<\xb2#[k',on_stopline_traffic_light,
b'\\\x1f+{\x85\x06[*',b'\xeb\xef\xf5\x07dMV\xf3',on_stopline_traffic_light,
b'\x9d\x86\xc78\x88\xf3Y\xd8',b'\xfe\x0f(\xbe\xfb\x1a\\4',on_stopline_traffic_light,
b'\x0f\xc5\xc3{ECQK',b'\x8ez\xe2}/\xebY\xdd',on_stopline_traffic_light,
b'\xfeL\x1c\x17>DZ\xba',"b'""\xa2\x99 \x8c\xfa]\xc9'",on_stopline_traffic_light,
"b'w6o\xc8\xaa""[\xb4'",b'\xdf\x04q\xf0\x13\x01S\xf4',on_stopline_traffic_light,
b'\xa8Y\x8e\x02\xc3b\\\x88',b'\xab\xa2\xce\x98rmS\xd5',on_stopline_traffic_light,
b'\x89\xc4xj?\t_\x00',b'0\x02\x91D\xec\x82P2',on_stopline_traffic_light,
b'\xbd\x80=\x1d\xfa(Z*',b'\xc4\xb5\x1f\x94\xd7\xfa]\xc4',on_stopline_traffic_light,
b'\xcd\xec#\x06\xab\xf6U\xa3',b'\xd21\xb7\xc2{T_{',on_stopline_traffic_light,
b'\x93\xe6v/(CP!',b'\x02}\xcd\xf2+D[p',on_stopline_traffic_light,
"b'\tM""e\xc1\xf9Y\x06'",b'\x02\x99|\xc5W\x82Wv',on_stopline_traffic_light,
b'\x16\x1b\xb69g\xe9U9',b'\x18\xfb\x84\x8e\xdbi_\xd1',on_stopline_traffic_light,
b'\x9e\x1b\xbc-\\AZ\x89',b'\xaf\x87\x12\x98`)V\xbe',on_stopline_traffic_light,
b'\xa0\xce \x90E\xd4_\xf8',b'\x96\x9e\x86\x90u\x03Y\xed',on_stopline_traffic_light,
b'\xf0\xf2\xd2#c\xf0Qr',b'\xa9\x8f\n\x02\xe6fYZ',on_stopline_traffic_light,
b'\x88\xeb*\xd3\xc0\xc3T\x1f',b'\r:\x14ol\x1eQ\x16',on_stopline_traffic_light,
b'\xa3\xef\x19L\xeb\xbdX\x1a',b'5v\x94\x98\x8d!Q\x96',on_stopline_traffic_light,
b'X\xbc\r\x05\xb5\x91^;',b'\x02\xea\xf6\x1f\x16O]\xa4',on_stopline_traffic_light,
b'\xc9!\x8e0[\xd0X\x92',b'\xb1`s\xc8 \xf4QY',on_stopline_traffic_light,
"b"")\xcc'K,7X\x97""",b'\xfc6\xf9\x81\x8e\xeaS\xf2',on_stopline_traffic_light,
b'\x92\x80_0\x9c\x9cP\xe0',b'\x96\xf8\x0e\x8bX\xf3_5',on_stopline_traffic_light,
"b'\xe9XO\xfa,\xf3Rd'",b'2\xff\xd3\x9f;\xb7Ze',on_stopline_traffic_light,
b'7\x0e)@n\x11P\xe0',b'\x91&\xcb\xc4#SV\xe6',on_stopline_traffic_light,
b'5\xd4\x82\xa9\x1b\x8fS-',b';\x8d\xff\xa4\xed\xdfR\x13',on_stopline_traffic_light,
b'\x99#\x81u\x0c;S\xef',b'\xb3\xb0G?*nU\x19',on_stopline_traffic_light,
b'\x97|\xe1\xf7eVTa',b'\x8bb@ -;[\x98',on_stopline_traffic_light,
b'\x95\xf4D\xec\xab Xl',b'jFD\x1d\xe3\xb5P!',on_stopline_traffic_light,
b'\xffU\x87f\x19*T\xf1',"b'\xc06\x8b""\xb1;WH'",on_stopline_traffic_light,
b'U\xf4\xc4 \x93pT\xd3',b')\xfa\xc7\x03n\xd3Wv',on_stopline_traffic_light,
b'\xe9\xe3\xd3r\xe6#QZ',b'\x91\x80^\xb4l1^d',on_stopline_traffic_light,
b'\x0b\\fw\x9e\xa1R\xdf',b'\xc6\xa9xy\xa7R\\K',on_stopline_traffic_light,
b'\xd0\xf4\x1a\xce\xbcFR\x1b',b'\xc7\xad\xc7\xcd8\xc8P\x8c',on_stopline_traffic_light,
b'\x0b\xcb\xd0\xd5\xddyW\xb8',b'\xac\x8e\xf4\xae\x9b \\9',on_stopline_traffic_light,
b'iN\x91|phQ\x97',b'\xd7\xb5\xfd\x94#hS\xc6',on_stopline_traffic_light,
b'w\xac\xef\xdd\xdd\xaeV\x82',b'2\x8b\xa6&t\xc8_\x9e',on_stopline_traffic_light,
b'5\xc8}\x0bS\xa9[K',b'\xaa:\xd4\\r\xdc]y',on_stopline_traffic_light,
b'A\xdf\xe6q \x9aQ\x0c',b'\xe3e\xaf\x8c\x84\xe9R\xb3',on_stopline_traffic_light,
b'\xe9\xbb\x8dT\xfd8SL',b'\xe4fY\xe2\x9c\x9d\\\x10',on_stopline_traffic_light,
"b',\xb3\tDl\xd6X\x1d'",b'\x11\x0fh65\xdbY:',on_stopline_traffic_light,
b'\x8e\xb8\x07s\xe6\x97Z2',b'\x12 T\xcbF\xab_q',on_stopline_traffic_light,
b'g+\xc2\x16\xdcKYc',b'\x18\xe5;A\r\x1cR\xee',on_stopline_traffic_light,
b'\x85\x82\xa8\xaa@\xc3^\x82',b'DqN\x86K\x01[\xd0',on_stopline_traffic_light,
b'\xb4\xa6\xa25\xae\xd6_+',b'*\xa3BX\xbe\xbfR\xe6',on_stopline_traffic_light,
b'\xe6\x1e\xfb>R\x95X\xa4',b'\xf6\x8f\x8b\xb34\x03SM',on_stopline_traffic_light,
b'\xc2\x8e\xb5e5#Wu',b'\xea\x1c=\x12\xca\xc8UC',on_stopline_traffic_light,
b'\x10\x86$\xa9\x02hR\n',b'S\xfb\xc3\x06\xb60RV',on_stopline_traffic_light,
b'\xa5\xd7\xccT\x8bz^-',b'\xf6\xf2\x96\xa1\xad\xdaZ\x01',on_stopline_traffic_light,
b'\xf8m@w\xc4d_B',"b""\xc9\x92'\xf6U\xd7W\x81""",on_stopline_traffic_light,
b'\xd8m\xbf\x16c6]\x08',b'\x98/\x00\x19t9X\xda',on_stopline_traffic_light,
b'\xe2\x96\xff\x9a$rV\xe4',b'\x10\xd4\x89\xc3!j_\xad',on_stopline_traffic_light,
b'~\x8b\xcc\x9b\x8eiQ\xf3',b'\x9e\xf9k\xba\xe8\xf9T\x16',on_stopline_traffic_light,
b'\x1azG\xb9\x8e\xf6Y\x9b',b' \xd0CC\x0b\x15^\xc1',on_stopline_traffic_light,
b'Os\tN\xf60]%',b'P\xb9\xf6\xca\x97\xcb_K',on_stopline_traffic_light,
b'Z\x99\xcd\x8e\xb6^Z\x89',b'kc\x9c\xfc\x03\x9f]\xfe',on_stopline_traffic_light,
b'\xdf\xe1\x03ns\xfdWY',b'\xaed\xd6\x92\x88\xfcT\xcd',on_stopline_traffic_light,
b'C#e\xac$3Q\x1b',b'A\xc8=D\xe0\xa1P\x1a',on_stopline_traffic_light,
b'\x9b=6[\xe0\xe2P\xb6',b'\xa6\x9be\xc6~\x99_\x03',on_stopline_traffic_light,
b'\x0eS\xe8\xefT\x9d]L',b'5\x1ca\x91\n\x0c[\x7f',on_stopline_traffic_light,
b'\x112\xa1\xfa\xc2\\Wk',b'\xd9\x81\x11\xd0S.^\xae',on_stopline_traffic_light,
b'\x16X\xf0v\xc3\x8dRC',b'Bd\xa6\xb86zY\xa0',on_stopline_traffic_light,
b'k\x92\x85u\x9b\x8a^\xe8',b'\xdb\xaaP\x12\x15\xb5Y\xb1',on_stopline_traffic_light,
b'P\xd1sG\xbd\x0cW\xb1',b'k&\x16EH\xcbR1',on_stopline_traffic_light,
b'~\x0f\x18\xe3\x06s__',b'\xb6W\xb5\x16#DUE',on_stopline_traffic_light,
b'\x97\xc6\x02\xf6\xafL\\7',b'\xac\xbf|\xbd\x04\x10T\x9c',on_stopline_traffic_light,
b'\xc2\xe3x\xe1X\xb8S\x87',"b""\x05<\x03'z\x9aR\xfb""",on_stopline_traffic_light,
b'\x0c\x02\xf6\x160U]\x9a',b'\xa6T_n\xd0\xa0U|',on_stopline_traffic_light,
b'\x17nhk{gP\xe0',b'\x0fR\xfc!\xf4\x9cQ;',on_stopline_traffic_light,
b'44\x12\xf6\x1a\xa0VX',b'.\xbb\xe5\x8fR\x92^M',on_stopline_traffic_light,
b'q\x91\x01\xf2#\x07^\x84',b'\xb1\xbaO\x81K\x83Z\xbb',on_stopline_traffic_light,
b'\x03\x0f6\xb9\x8e\x0bY\xa4',b't\x88\x01\x80\x86\x19W\x94',on_stopline_traffic_light,
b'\xfb\xd0\x18\xbb\xa6\xf3^>',b'\xba6\x8e\x98\xfd\x19Y\xdb',on_stopline_traffic_light,
b'\x0cL\x9e\x96\xd6\x17S\xfa',b'\xe6\xfa\x7f`m\xc0UV',on_stopline_traffic_light,
"b'""l\xbc\xc0\xe5\x1bR\xf5'",b'\x02K\xbb\xf4\x91\x12^_',on_stopline_traffic_light,
b';\xed\xa6p\x0f\xf6\\\xe9',b'\x18\xf4e.nBV\x15',on_stopline_traffic_light,
b'\xbdj\xabB\xc5BW\xfe',b't\xb5\xd4O\x08\n[\x81',on_stopline_traffic_light,
b'V\xcaj\x97\xadw[\x8e',b';\xbe\xe3\xb3\x19\xf3Wb',on_stopline_traffic_light,
b'\x0c\xb4\xf2O9][\x9d',b'\nQ\xc0\x96w\xa8Wv',on_stopline_traffic_light,
b'\xb1\xf2\xf7d\xb5\xddW~',b'+\x17\xab\xdd\xf51V\xba',on_stopline_traffic_light,
b'^\xc9k\xe0\n\xf7_{',"b'w@,\x91q\xdeTa'",on_stopline_traffic_light,
"b""',\xf3>>\xe7R\xa4""",b'\x97\xe6\xaf\x1f\xb3\xc5W\x10',on_stopline_traffic_light,
b'\x96\xdc\xa7\xcbB\xdeR\x1d',b'\xfc\xf6h\xfa\r\x7f[\xcd',on_stopline_traffic_light,
b'-\xa9GU7\x90]`',b'\x9f-\xe8\xc9(\xa8R\x9c',on_stopline_traffic_light,
b'\x920\xd5>s\xa8U9',b'\xa4\x98\x1c\x9aF]Y\xdc',on_stopline_traffic_light,
"b'""\xf2\xec\xbc\x1e\xd8WA'",b'#f\xa8\x8f\x9d\xc7X\xde',on_stopline_traffic_light,
b'z)I\xba\xfc\x19^\xca',b'\xdf\xcb\xf3BOw^N',on_stopline_traffic_light,
b'\x07\x9f\xcf<\x94\x1f^\x05',"b""q\xecE\xfb\xcf\xa8Z'""",on_stopline_traffic_light,
b'\xc9u\xa1[\xa2g[=',b'[\x88\xdb>\xc4\xacWe',on_stopline_traffic_light,
b'=\x92v\x83\x1d\x9b[\xc9',b'\xa0AO\xaat5R\\',on_stopline_traffic_light,
b'\xe1a\xc7\x82\xd3\x8bW\x97',b'$\xad\xd7E\x9c`\\\xb1',on_stopline_traffic_light,
b'\xba\xaa\xce\xa9\xe8\x95R\x93',b'\xac+z\x82\xbc\x19S\x8a',on_stopline_traffic_light,
b'\xee\xb7\x12\xd4\x90\x94_\x90',b'w\x19\xe7\x16\x82SW\x83',on_stopline_traffic_light,
b'\x9dq\x91\x0f\x16r_\x92',b'g%@eT\x8eZU',on_stopline_traffic_light,
b'\xdf\x8a>\x13\x03zZ\x12',b'o\x7f@z\x0f\xd6T\x91',on_stopline_traffic_light,
b'\x05\xe9L\x8d\xa4\x95W\x10',b'y\xd0~\xda\x10\xa7S:',on_stopline_traffic_light,
b'z\x0f\xc2F\x9e!P\xc2',b'\x15a\xe2\xf6F\x0bT\x1b',on_stopline_traffic_light,
b'\xe3\xcd\xd2\rq\xabR?',b'@\xb1\xc0`m\x05T\xe7',on_stopline_traffic_light,
b'\x8e\xfe\x97\xff`hZ\xa0',b'\x9b\xbd9M\xa5KSB',on_stopline_traffic_light,
b'\xd2:n\x15g\x15S\xdd',b'\xbd\xeb\xd9wcRZ\xfe',on_stopline_traffic_light,
b'\x7f?\x0fu\xc2\\Rg',"b'""\x15""T YPw'",on_stopline_traffic_light,
b'G\xcd\x1b2S\xd8W4',b'\x82\x9fb0QCV\xb4',on_stopline_traffic_light,
b'N7U\xcd\x8f5Q\x87',b'Q\x1bx\xefV%_3',on_stopline_traffic_light,
b'\xfc\xa6\xc7J\xcd\x06W\x80',b'*\xe4\xab\xc2\xebc[\xd0',on_stopline_traffic_light,
b'|l;\x13\xc8\xa6_\x10',b'\x9aB\xac\x0b\xa6\x9aP\xb6',on_stopline_traffic_light,
b'e\xac\x1f\xebPB_p',b'\xde\xcd\xac\xbd\x83\xd5_\x94',on_stopline_traffic_light,
b'\xa5\xefo?D6\\\xc3',b'9\x97\xd0\xaa\xd7S[\xce',on_stopline_traffic_light,
